x1,x2,y,fidelity
-5.0,1.0606060606060606,-272.79595947265625,3
-4.696969696969697,0.30303030303030304,-266.5704040527344,3
-4.545454545454545,0.7575757575757576,-237.801025390625,3
-4.848484848484849,1.6666666666666667,-238.91375732421875,3
-3.9393939393939394,0.0,-207.05728149414062,3
-4.090909090909091,0.4545454545454546,-206.5696258544922,3
4.3939393939393945,15.0,-189.2178192138672,3
7.424242424242424,14.545454545454547,-189.32290649414062,3
5.151515151515152,13.030303030303031,-153.3430938720703,3
7.272727272727273,13.333333333333334,-161.0860595703125,3
7.575757575757576,12.727272727272728,-141.92080688476562,3
-4.848484848484849,6.212121212121212,-122.42234802246094,3
2.4242424242424248,12.575757575757576,-96.36701965332031,3
1.666666666666667,13.636363636363637,-107.68775177001953,3
10.0,11.818181818181818,-79.65132141113281,3
4.8484848484848495,9.84848484848485,-84.03372955322266,3
6.818181818181818,5.151515151515151,-34.24049758911133,3
0.9090909090909092,0.6060606060606061,-32.333763122558594,3
1.5151515151515156,0.0,-25.628253936767578,3
5.454545454545455,0.9090909090909092,-16.553991317749023,3
-5.0,0.30303030303030304,-297.8043416287709,3
-5.0,0.7575757575757576,-282.6615626715969,3
